Date,Open,High,Low,Close,Volume
2022-07-06,140.0,148.0,132.0,148.0,14600
2022-07-07,137.0,147.0,131.0,147.0,24000
2022-07-08,137.0,145.0,136.0,145.0,26700
2022-07-11,134.0,144.0,131.0,144.0,118300
2022-07-12,134.0,144.0,134.0,144.0,34000
2022-07-13,128.0,139.0,128.0,139.0,50900
2022-07-14,127.0,137.0,125.0,137.0,32100
2022-07-15,130.0,136.0,128.0,136.0,18700
2022-07-18,129.0,130.0,128.0,130.0,31000
2022-07-19,129.0,136.0,122.0,124.0,127200
2022-07-20,130.0,139.0,123.0,139.0,53900
2022-07-21,125.0,137.0,125.0,137.0,9500
2022-07-22,129.0,134.0,128.0,134.0,9500
2022-07-25,129.0,138.0,129.0,138.0,21000
2022-07-26,129.0,138.0,128.0,138.0,4600
2022-07-27,128.0,136.0,124.0,136.0,21300
2022-07-28,131.0,138.0,127.0,138.0,80400
2022-07-29,131.0,136.0,126.0,136.0,24000
2022-08-01,128.0,141.0,128.0,141.0,10300
2022-08-02,129.0,138.0,128.0,138.0,5000
2022-08-03,127.0,135.0,125.0,135.0,31300
2022-08-04,130.0,133.0,125.0,132.0,50900
2022-08-05,130.0,130.0,126.0,130.0,6800
2022-08-08,128.0,139.0,127.0,139.0,18000
2022-08-09,127.0,138.0,127.0,138.0,19100
2022-08-10,126.0,133.0,124.0,133.0,28400
2022-08-11,128.0,132.0,125.0,132.0,7200
2022-08-12,130.0,130.0,126.0,128.0,1500
2022-08-15,130.0,138.0,126.0,138.0,6800
2022-08-16,134.0,137.0,125.0,137.0,50900
2022-08-18,130.0,142.0,126.0,142.0,58000
2022-08-19,128.0,139.0,127.0,139.0,13600
2022-08-22,130.0,138.0,129.0,138.0,17100
2022-08-23,128.0,132.0,128.0,132.0,4900
2022-08-24,127.0,138.0,125.0,138.0,48600
2022-08-25,134.0,137.0,126.0,137.0,25600
2022-08-26,139.0,142.0,129.0,142.0,42900
2022-08-29,138.0,147.0,130.0,147.0,12900
2022-08-30,136.0,140.0,129.0,137.0,14800
2022-08-31,140.0,145.0,134.0,145.0,30100
2022-09-01,137.0,148.0,131.0,148.0,79500
2022-09-02,136.0,146.0,135.0,146.0,6300
2022-09-05,138.0,145.0,137.0,145.0,33400
2022-09-06,139.0,147.0,134.0,147.0,4500
2022-09-07,141.0,148.0,134.0,148.0,59400
2022-09-08,140.0,150.0,138.0,150.0,54100
2022-09-09,140.0,146.0,140.0,146.0,2300
2022-09-12,139.0,149.0,135.0,149.0,28100
2022-09-13,142.0,148.0,132.0,148.0,66200
2022-09-14,137.0,155.0,133.0,150.0,195500
2022-09-15,142.0,150.0,135.0,145.0,28100
2022-09-16,142.0,152.0,138.0,152.0,70600
2022-09-19,138.0,151.0,136.0,151.0,63700
2022-09-20,140.0,148.0,135.0,148.0,137100
2022-09-21,143.0,150.0,134.0,150.0,77700
2022-09-22,140.0,143.0,139.0,143.0,28200
2022-09-23,141.0,149.0,133.0,149.0,65900
2022-09-26,155.0,155.0,137.0,143.0,543700
2022-09-27,159.0,170.0,145.0,165.0,959500
2022-09-28,148.0,170.0,148.0,149.0,1465000
2022-09-29,138.0,152.0,138.0,141.0,340100
2022-09-30,129.0,138.0,129.0,138.0,86600
2022-10-03,130.0,130.0,129.0,130.0,12900
2022-10-04,130.0,135.0,129.0,132.0,16100
2022-10-05,137.0,142.0,130.0,130.0,10000
2022-10-06,129.0,135.0,128.0,128.0,11800
2022-10-07,135.0,136.0,129.0,130.0,27800
2022-10-10,131.0,144.0,126.0,126.0,29000
2022-10-11,131.0,137.0,129.0,129.0,18300
2022-10-12,130.0,130.0,124.0,124.0,169800
2022-10-13,128.0,128.0,128.0,128.0,23900
2022-10-14,130.0,140.0,129.0,131.0,5600
2022-10-17,136.0,140.0,130.0,140.0,4300
2022-10-18,130.0,141.0,130.0,141.0,1800
2022-10-19,135.0,137.0,123.0,129.0,19100
2022-10-20,135.0,135.0,128.0,128.0,1800
2022-10-21,129.0,135.0,126.0,135.0,7400
2022-10-24,127.0,132.0,126.0,132.0,23900
2022-10-25,130.0,132.0,126.0,127.0,36800
2022-10-26,125.0,130.0,125.0,130.0,1400
2022-10-27,125.0,125.0,125.0,125.0,17600
2022-10-28,129.0,137.0,117.0,130.0,60900
2022-10-31,127.0,132.0,120.0,132.0,18600
2022-11-01,124.0,127.0,122.0,126.0,19000
2022-11-02,131.0,131.0,123.0,123.0,50700
2022-11-03,124.0,133.0,123.0,131.0,41600
2022-11-04,121.0,124.0,120.0,124.0,17000
2022-11-07,126.0,131.0,121.0,121.0,18100
2022-11-08,122.0,126.0,121.0,126.0,12400
2022-11-09,122.0,122.0,122.0,122.0,1000
2022-11-10,122.0,122.0,122.0,122.0,0
2022-11-11,117.0,121.0,114.0,121.0,258700
2022-11-14,126.0,128.0,115.0,117.0,423500
2022-11-15,119.0,129.0,119.0,125.0,12400
2022-11-16,121.0,121.0,115.0,119.0,44600
2022-11-17,115.0,124.0,114.0,114.0,9600
2022-11-18,119.0,119.0,119.0,119.0,1500
2022-11-21,118.0,119.0,112.0,119.0,20600
2022-11-22,119.0,127.0,113.0,127.0,57600
2022-11-23,113.0,119.0,113.0,119.0,3900
2022-11-24,113.0,115.0,113.0,113.0,10500
2022-11-25,110.0,118.0,110.0,112.0,2300
2022-11-28,108.0,111.0,108.0,111.0,5500
2022-11-29,118.0,118.0,103.0,107.0,41600
2022-11-30,111.0,127.0,110.0,118.0,88300
2022-12-01,114.0,114.0,105.0,105.0,500
2022-12-02,125.0,125.0,108.0,112.0,42500
2022-12-05,117.0,127.0,117.0,124.0,43700
2022-12-06,122.0,124.0,122.0,122.0,62700
2022-12-07,117.0,117.0,117.0,117.0,4100
2022-12-08,117.0,126.0,117.0,121.0,15300
2022-12-09,119.0,119.0,119.0,119.0,7700
2022-12-12,113.0,119.0,112.0,119.0,33500
2022-12-13,116.0,116.0,109.0,113.0,11700
2022-12-14,116.0,125.0,111.0,112.0,46800
2022-12-15,116.0,116.0,108.0,112.0,10100
2022-12-16,109.0,116.0,109.0,110.0,74700
2022-12-19,109.0,116.0,109.0,109.0,14300
2022-12-20,108.0,108.0,105.0,108.0,1700
2022-12-21,111.0,113.0,108.0,113.0,400
2022-12-22,108.0,114.0,105.0,110.0,58300
2022-12-23,114.0,114.0,103.0,103.0,10700
2022-12-26,114.0,114.0,114.0,114.0,500
2022-12-27,107.0,114.0,107.0,114.0,5900
2022-12-28,102.0,117.0,102.0,105.0,71300
2022-12-29,101.0,109.0,100.0,104.0,18800
2022-12-30,101.0,111.0,100.0,101.0,56500
2023-01-02,101.0,101.0,101.0,101.0,20000
2023-01-03,100.0,100.0,100.0,100.0,7500
2023-01-04,95.0,100.0,94.0,99.0,5800
2023-01-05,102.0,104.0,96.0,96.0,24800
2023-01-06,95.0,102.0,95.0,102.0,8400
2023-01-09,92.0,100.0,92.0,100.0,6000
2023-01-10,86.0,92.0,86.0,92.0,61300
2023-01-11,86.0,86.0,86.0,86.0,17000
2023-01-12,87.0,92.0,84.0,84.0,18400
2023-01-13,87.0,92.0,82.0,92.0,1500
2023-01-16,89.0,91.0,83.0,87.0,3800
2023-01-17,90.0,91.0,84.0,84.0,1100
2023-01-18,87.0,89.0,85.0,89.0,9700
2023-01-19,88.0,88.0,88.0,88.0,200
2023-01-20,89.0,89.0,83.0,86.0,1100
2023-01-24,89.0,90.0,84.0,90.0,7500
2023-01-25,86.0,90.0,86.0,90.0,1400
2023-01-26,86.0,86.0,86.0,86.0,2700
2023-01-27,86.0,88.0,86.0,88.0,5800
2023-01-30,86.0,86.0,86.0,86.0,1300
2023-01-31,88.0,89.0,84.0,84.0,3200
2023-02-01,86.0,88.0,86.0,88.0,14600
2023-02-02,85.0,86.0,85.0,86.0,25900
2023-02-03,85.0,87.0,85.0,87.0,400
2023-02-06,82.0,85.0,82.0,85.0,13000
2023-02-07,86.0,86.0,82.0,82.0,5900
2023-02-08,82.0,83.0,82.0,83.0,6200
2023-02-09,86.0,86.0,86.0,86.0,1300
2023-02-10,82.0,87.0,82.0,87.0,12400
2023-02-13,84.0,88.0,81.0,88.0,4100
2023-02-14,84.0,84.0,84.0,84.0,400
2023-02-15,81.0,82.0,81.0,82.0,24100
2023-02-16,81.0,81.0,81.0,81.0,500
2023-02-17,87.0,87.0,81.0,81.0,18400
2023-02-20,86.0,86.0,81.0,83.0,13900
2023-02-21,81.0,86.0,81.0,81.0,5900
2023-02-22,88.0,89.0,82.0,82.0,52400
2023-02-23,86.0,89.0,83.0,88.0,18300
2023-02-24,87.0,87.0,84.0,86.0,31500
2023-02-27,83.0,87.0,83.0,87.0,200
2023-02-28,84.0,88.0,83.0,83.0,1500
2023-03-01,85.0,86.0,84.0,84.0,8700
2023-03-02,84.0,88.0,84.0,85.0,3800
2023-03-03,89.0,89.0,82.0,82.0,18900
2023-03-06,88.0,88.0,85.0,86.0,1600
2023-03-07,84.0,84.0,83.0,83.0,22900
2023-03-08,87.0,90.0,85.0,85.0,8400
2023-03-09,87.0,87.0,83.0,87.0,55500
2023-03-10,86.0,93.0,85.0,87.0,29300
2023-03-13,84.0,89.0,84.0,89.0,34300
2023-03-14,88.0,91.0,83.0,83.0,21000
2023-03-15,83.0,87.0,83.0,84.0,5400
2023-03-16,83.0,83.0,83.0,83.0,82100
2023-03-17,86.0,90.0,84.0,89.0,7800
2023-03-20,86.0,87.0,84.0,84.0,3200
2023-03-21,88.0,92.0,84.0,84.0,28300
2023-03-24,89.0,91.0,83.0,88.0,7000
2023-03-27,84.0,89.0,84.0,88.0,24500
2023-03-28,88.0,89.0,87.0,89.0,10100
2023-03-29,88.0,90.0,84.0,88.0,3800
2023-03-30,86.0,87.0,84.0,84.0,1700
2023-03-31,84.0,90.0,83.0,83.0,9600
2023-04-03,86.0,86.0,83.0,83.0,14300
2023-04-04,86.0,86.0,84.0,84.0,2200
2023-04-05,84.0,90.0,81.0,88.0,18300
2023-04-06,84.0,89.0,83.0,89.0,25700
2023-04-10,83.0,89.0,83.0,86.0,36900
2023-04-11,86.0,86.0,85.0,86.0,1800
2023-04-12,84.0,86.0,80.0,81.0,1700
2023-04-13,87.0,87.0,81.0,86.0,2400
2023-04-14,85.0,87.0,83.0,87.0,2400
2023-04-17,89.0,93.0,87.0,90.0,12300
2023-04-18,88.0,88.0,88.0,88.0,600
2023-04-26,87.0,87.0,86.0,87.0,1700
2023-04-27,84.0,87.0,83.0,87.0,2400
2023-04-28,84.0,87.0,81.0,81.0,500
2023-05-02,81.0,86.0,81.0,81.0,6600
2023-05-03,89.0,89.0,80.0,80.0,33300
2023-05-04,83.0,89.0,83.0,89.0,35700
2023-05-05,85.0,86.0,80.0,83.0,33700
2023-05-08,81.0,83.0,80.0,81.0,77400
2023-05-09,81.0,81.0,79.0,81.0,13900
2023-05-10,81.0,81.0,81.0,81.0,0
2023-05-11,81.0,81.0,81.0,81.0,0
2023-05-12,77.0,77.0,77.0,77.0,200
